task_id,worker_id,task_date,task_complexity,time_taken_minutes,accuracy
3fa8873b-46bb-44f8-ae6d-bf7d3c8b37d1,W_001,2024-01-02,Low,4.79,0.961
e5a266d4-aa7e-4077-b235-139534a3e23b,W_001,2024-01-02,Low,5.92,0.977
607602aa-618e-41c5-8d12-886243f25541,W_001,2024-01-02,High,14.74,0.887
6e91ea52-42e7-46ba-908e-b3e7c7f8797d,W_001,2024-01-02,High,10.6,0.867
d0799446-58be-48dc-a872-28bc84aff640,W_001,2024-01-02,Low,6.27,0.964
606afff6-7e7e-4b43-8939-345c97a3ad5c,W_001,2024-01-02,High,12.01,0.871
966829a7-83d7-4729-a9c5-51232ba84c91,W_001,2024-01-02,Low,4.6,0.964
8e197993-4011-45ec-8af8-817bc5e1b06e,W_001,2024-01-03,Medium,8.39,0.928
a36da88e-27a2-4626-a728-9a2d1f205701,W_001,2024-01-03,High,11.96,0.813
5cbcb11b-3a72-4ca1-b7ff-a7d95fbc5e3d,W_001,2024-01-03,Low,5.06,1.0
9d810dd3-b32d-46d9-b58b-18be1303c6bc,W_001,2024-01-03,Low,5.48,0.965
487385cf-1673-4e58-9a52-3ea31611d400,W_001,2024-01-03,Low,4.97,0.947
e15afe9e-8eaa-4a7b-8acb-b384a042c7f5,W_001,2024-01-03,High,13.53,0.834
af9052e7-6fc8-43f5-b22f-1a47c0028e14,W_001,2024-01-03,Medium,9.19,0.903
bd8fa812-c973-4bc1-b7df-b7446e3168a8,W_001,2024-01-03,Low,6.41,0.998
3a8c5830-a8ed-4699-9de3-5fd5e5019b40,W_001,2024-01-03,Medium,6.51,0.913
a0af77eb-4ab8-4a2d-aaf1-93b1f952d84b,W_001,2024-01-03,Low,6.71,0.987
853730b5-5927-4222-8d95-330dd2354290,W_001,2024-01-03,Low,3.45,0.971
a29824d6-34f5-4e8d-bc5e-595bf0a24a79,W_001,2024-01-03,Medium,8.8,0.903
0941736a-422b-46e8-be7e-e979139e935b,W_001,2024-01-03,Low,4.22,0.964
94e86822-81db-4f2c-838c-57205d13e0b0,W_001,2024-01-04,High,14.73,0.982
145b7d6b-b687-4b26-92f4-da7e601add23,W_001,2024-01-04,Low,5.26,0.986
e50a5eda-e0ec-428b-b7a5-c0421b17aedd,W_001,2024-01-04,Low,6.3,0.953
3b70971c-5b31-4d24-9e6d-51d93ae26990,W_001,2024-01-04,High,12.5,0.894
b1516129-57f4-41de-b48a-e61c675e0d24,W_001,2024-01-04,Medium,8.34,0.955
ef956f9d-98de-4bbd-bd52-6231ce538fd9,W_001,2024-01-04,Low,5.29,0.956
a3d60ff6-2283-4ff7-addf-66e524de522a,W_001,2024-01-04,Low,5.17,0.946
489fb2e0-64cd-4361-97dc-c0fe39029db9,W_001,2024-01-04,Medium,6.21,0.95
da9a0f48-e284-45f6-884e-82ebdb1cbec4,W_001,2024-01-04,Medium,6.87,0.896
f91e4984-6500-42b9-b4fe-aa1a71406225,W_001,2024-01-04,Medium,9.45,0.942
bb6db162-8e11-4272-9bdb-89ad98fbeb82,W_001,2024-01-04,Medium,6.7,0.934
d0a384a0-c410-425b-9904-e82835edbb7b,W_001,2024-01-04,Low,4.11,0.954
621b5b1e-a3ea-4eaf-8845-de2c90136046,W_001,2024-01-05,Medium,12.1,0.933
5d243696-8f7b-4ccd-8507-1549e15a206c,W_001,2024-01-05,Low,5.63,0.953
05583e4a-944c-4855-8144-1660e5163b3f,W_001,2024-01-05,Low,5.04,0.967
34d5f285-3684-4249-83ba-4b5be0aa28f8,W_001,2024-01-05,Low,4.78,0.984
e4486e3f-1c8d-4b3f-a48d-26309654b748,W_001,2024-01-05,Low,4.88,0.985
f53cdd7a-2085-4af4-82a6-d9c1bf76d82a,W_001,2024-01-05,High,10.31,0.819
99c788a2-7cf8-4112-a9e3-11a455ddc006,W_001,2024-01-05,High,10.15,0.859
15846261-1b91-4d2b-a609-6d6eea6d9df3,W_001,2024-01-05,Medium,8.26,0.942
57b91710-284c-473c-a859-b0d94ac62b0c,W_001,2024-01-05,Medium,8.35,0.906
47c245d8-9b36-41d5-9d59-fd06c4ee3fdd,W_001,2024-01-05,High,12.12,0.834
c43e3048-d054-4eab-b250-9d13ba9985c1,W_001,2024-01-05,High,13.74,0.923
77ba29ae-b18d-4e13-8fcd-02655c015786,W_001,2024-01-05,Medium,5.93,0.902
58faeb4c-52df-446a-8c16-d8c034bbbf38,W_001,2024-01-05,High,12.61,0.89
bd454d86-62ce-46b2-abe5-90b1436a0cf3,W_001,2024-01-05,High,13.03,1.0
60630e0a-2295-4b2f-8ca0-c7c275d5f32c,W_001,2024-01-05,Medium,10.0,0.96
a768ed2f-9c01-4c04-9c27-23c3a0877684,W_001,2024-01-05,Medium,7.53,0.953
830521d7-634e-4e7d-9c3e-f59741dcff25,W_001,2024-01-05,Low,5.17,0.953
fe262504-84c6-4e6b-ba86-6cd3ba37ef5e,W_001,2024-01-05,Low,7.31,0.933
c857b34b-d346-42e2-83c2-62cdb96a82eb,W_001,2024-01-05,Low,4.59,0.972
ca12d29c-7bc3-43f3-8cb6-5476839b7ca1,W_001,2024-01-05,Low,4.53,0.992
cb51f3ce-982e-4df8-a444-42a18f38f604,W_001,2024-01-05,Low,6.56,0.973
b1f26c3b-cb78-4110-8702-ca7743980645,W_001,2024-01-06,Low,5.05,0.957
eb2e49c1-116c-4c6f-8179-62ff9778021c,W_001,2024-01-06,Medium,10.05,0.955
9c8c82f4-e24f-42d9-a1e4-90fd15125170,W_001,2024-01-06,High,7.95,0.887
65a649db-d9fe-4077-9cc4-bece9fd8ff82,W_001,2024-01-06,Medium,7.33,0.88
a1e20401-d387-4240-adfd-55711a5d0c85,W_001,2024-01-06,Low,5.5,0.987
50873e4e-7359-475a-b091-b3fbf1204da9,W_001,2024-01-06,Low,4.67,0.964
b2e6cee2-5bc1-4acc-aee6-252f9bd1a4a4,W_001,2024-01-06,Low,6.77,0.978
d843ba4a-6ebe-40c0-b602-3f5964863924,W_001,2024-01-06,Medium,8.57,0.98
cc997aa5-1dad-43fc-9167-9ef0107633b4,W_001,2024-01-06,Medium,5.72,0.915
8e3bad97-19eb-4713-945f-c4fd393ba212,W_001,2024-01-06,Low,4.76,1.0
476425f2-7446-4295-8891-894b45d414e2,W_001,2024-01-06,Low,1.76,0.95
5e6e43c8-24cd-4f80-a2e2-954c13920653,W_001,2024-01-07,Low,6.54,0.996
6e7f928f-a0ba-4d87-8194-3b7c7385e6a2,W_001,2024-01-07,Low,6.44,0.941
7dc7b9ac-8f1c-460e-94e8-43aeef62df77,W_001,2024-01-07,Medium,8.61,0.957
1877a4da-138f-499d-b29d-e6b2092c9845,W_001,2024-01-07,Low,5.2,0.958
2598fcbf-fcca-45c0-b640-995cd6d558f3,W_001,2024-01-07,Low,5.65,0.973
b34e322c-420a-4cb7-a095-c30b29d95d53,W_001,2024-01-07,Medium,10.38,0.893
3d745e29-cf08-4b07-afd1-16259bcf7daf,W_001,2024-01-07,Low,5.69,0.971
6e09a84d-43a6-406b-895f-a3586b735935,W_001,2024-01-07,Low,5.28,0.958
899529e8-a0d1-40fd-9070-4916ba3b0fdd,W_001,2024-01-07,Low,5.88,0.961
409d98d0-9d8d-4be6-8191-3b1a733a0067,W_001,2024-01-07,Low,4.41,0.987
0fa3ad47-f5c6-48c3-93b9-f12b7fe22408,W_001,2024-01-07,Low,5.95,0.999
52d395ed-f7d3-4b6c-9a2e-88f192ba797d,W_001,2024-01-08,High,10.34,0.858
0084f25f-c509-4f77-8bbf-d10f6538bda3,W_001,2024-01-08,Medium,5.32,0.893
646a032b-a562-44c4-8a71-28a16830328b,W_001,2024-01-08,Medium,8.82,0.924
93ba75c9-1e24-4b2c-be76-356984613628,W_001,2024-01-08,High,15.11,0.862
d60ca094-853c-42b2-aa54-65a1ace6c127,W_001,2024-01-08,Medium,9.96,0.931
efa5753a-b5be-4942-8529-deda281c8f7a,W_001,2024-01-08,Low,4.76,0.987
81192f1f-a96c-4a83-8b55-5345ca978666,W_001,2024-01-08,Low,5.32,0.967
c781855d-c325-49b7-a621-cddb4d54f553,W_001,2024-01-08,High,15.82,0.923
1ff34ef5-11af-4792-bd3e-f1723d47b30e,W_001,2024-01-08,Low,3.99,0.946
f877f5f6-8e8b-481e-9174-99a9ad708409,W_001,2024-01-08,Medium,9.16,0.95
36e99e74-4df4-4a5c-8944-f16ab93f1e4e,W_001,2024-01-08,Medium,7.98,0.903
8a1f767b-20cb-47cf-94f2-ec4d909c87d1,W_001,2024-01-08,Low,2.91,1.0
2e0e652b-a2e7-49c8-8f04-d241efe89772,W_001,2024-01-08,High,10.35,0.867
a25aca2a-6d02-4ea2-bb89-cff86e22f4b7,W_001,2024-01-08,Low,5.61,0.997
549ac4d2-d5cd-46e2-894e-4a51a71d5160,W_001,2024-01-08,Low,5.24,0.96
31675337-5501-4a31-a47d-eee21355562a,W_001,2024-01-08,Low,5.56,0.987
bc87d1ee-9ae5-451e-ab27-3fb15771e1b9,W_001,2024-01-08,Low,3.55,0.942
d39e7a92-a44c-4a49-b951-4368bf1e687f,W_001,2024-01-08,High,10.67,0.934
f6f077e0-cce6-4f1a-a6b3-9a4eecf01dcd,W_001,2024-01-08,Low,5.31,1.0
a5297be1-f11b-4ea3-a98f-c806ee46391f,W_001,2024-01-08,Low,4.7,0.97
dd2ddf82-082f-4d64-820e-23069b52eb90,W_001,2024-01-09,Low,5.32,0.953
bc6beea2-616e-42a6-bfa1-858e8a1da673,W_001,2024-01-09,Medium,8.74,0.933
cd492151-8b32-458f-9774-5e4ebd10a4f0,W_001,2024-01-09,Low,5.69,0.962
5211e056-1cd9-4cbc-8b50-a38318013beb,W_001,2024-01-09,Low,5.07,0.99
dc9925f8-a066-407c-a818-9beb143f6a71,W_001,2024-01-09,High,12.2,0.849
b421c2ba-5733-4493-a9bd-575924a6160b,W_001,2024-01-09,High,16.55,0.896
cc2f1e5f-1d29-4a5f-959b-f5a10d4da3ba,W_001,2024-01-09,Medium,11.23,0.907
e4667110-0f56-4ffe-8b7f-4e0cc28c50e9,W_001,2024-01-09,Medium,7.83,0.959
772a032d-2603-45cc-b74a-c84de8910366,W_001,2024-01-09,Medium,6.74,0.912
ea4984fd-9b8b-4396-ab05-22a74fc4ecd1,W_001,2024-01-09,Low,6.03,0.934
3551b202-29d7-4dec-9dfc-61a68acef222,W_001,2024-01-09,Low,5.34,1.0
69bd39c8-7bf5-4a0a-a08b-c7520e7bdb8f,W_001,2024-01-09,Low,5.57,0.989
06aaef94-b079-48c7-a7b9-4e662d744b7e,W_001,2024-01-09,Low,3.68,1.0
acc8bb67-968b-4848-ac73-c28c0ad92a95,W_001,2024-01-09,High,11.85,0.869
d29350a7-0c9a-4cc6-bae9-7d7b85adf837,W_001,2024-01-09,High,8.57,0.934
10304bd6-0866-4f86-9ed8-120426e6b3ca,W_001,2024-01-10,Low,4.89,0.969
c11ff73a-89e0-408b-a301-e31dac6df180,W_001,2024-01-10,High,12.01,0.882
08972747-d44f-4aae-b06e-c747d7c713e9,W_001,2024-01-10,Medium,7.53,0.882
05ea16da-11a5-4289-8b40-19dc5dd3febc,W_001,2024-01-10,Low,5.12,0.98
9469ac7c-b4b6-4323-bf94-4d57b1bdb383,W_001,2024-01-10,Low,6.06,1.0
8616423c-20f9-442a-802e-7ad346f4fb98,W_001,2024-01-10,Low,5.33,0.955
123ec12e-9c77-4a68-ba4e-c23fe53959c4,W_001,2024-01-10,Medium,8.17,0.977
845ed6f9-3c8f-4f2e-a67c-04e665ac9591,W_001,2024-01-10,High,16.12,0.95
fc87532e-7d94-4525-8a0a-5225ba7609bd,W_001,2024-01-10,High,9.96,0.869
6005f7b9-871b-4d7b-a6c2-97d5822fb2d6,W_001,2024-01-10,Low,5.65,0.997
135c7a11-e0e1-46a9-91aa-c5f6f470a41f,W_001,2024-01-10,Medium,7.35,0.92
55af4f6e-831e-4172-8f68-900b377084b1,W_001,2024-01-10,Low,6.06,0.935
a65c11c7-6e9b-45f2-9612-619b6acd5050,W_001,2024-01-10,Low,5.89,0.967
c09bd028-cd84-44fe-b502-cb3e60d71cd8,W_001,2024-01-10,Low,6.5,0.971
af9edb95-13b1-4759-bbe0-05c89d51295d,W_001,2024-01-10,Low,5.98,0.977
4f5572b3-022b-4006-b1e9-925b19ccf5a9,W_001,2024-01-10,High,8.59,0.878
bfc84d7c-911e-49bd-a2aa-cccc994ea504,W_001,2024-01-10,Low,4.99,0.978
003e6522-adcc-4c7d-87f0-947d4b3d83ca,W_001,2024-01-10,Low,3.7,0.983
f8876c2c-d7f2-4ed3-8fbe-c98516297520,W_001,2024-01-10,Low,3.9,0.98
167c0de1-17b9-4b7d-b088-410e3b6d7fa5,W_001,2024-01-11,Low,4.01,0.98
fc169928-988e-43a8-9f72-cb29feb44451,W_001,2024-01-11,Low,4.18,0.959
f169216b-673f-4810-853f-08d3f6d410db,W_001,2024-01-11,Low,4.89,0.949
2b27313c-fcd9-4c78-b799-f5cbc0f2a296,W_001,2024-01-11,Low,5.06,0.924
8b34d3d5-ee49-42c8-9ac1-67629f7ecaf8,W_001,2024-01-11,Medium,6.95,0.936
407dbe03-89da-46b4-b123-e338fa3468f9,W_001,2024-01-11,High,13.7,0.855
a42e3880-3865-4454-928b-c575fd61791b,W_001,2024-01-11,Medium,7.2,0.913
915f55e5-ab2d-4cdb-ba47-b7d6197f6bf5,W_001,2024-01-11,Low,7.37,0.964
1744676d-e09e-4418-801a-d9c348aef90b,W_001,2024-01-11,Low,6.64,0.965
74a90723-2189-41e9-acfe-c1ccaa4c4188,W_001,2024-01-11,Low,5.85,0.95
4ebe6b32-8825-49b8-a466-72b592529f47,W_001,2024-01-11,High,18.16,0.925
ec786fdd-96b5-4aff-b4e9-62a80bbe7563,W_001,2024-01-11,Low,6.52,0.921
cd158011-8e43-458f-9b08-06e7e1fada55,W_001,2024-01-11,Low,4.24,0.942
e3583eee-c1f0-4411-b27e-481a6937383e,W_001,2024-01-12,Low,5.22,0.988
ebfab803-368c-4cb8-a66e-5281a7cd6ab4,W_001,2024-01-12,Medium,7.99,0.974
e42d106a-805d-426c-aa8a-acf9bb319d26,W_001,2024-01-12,Low,7.37,0.99
3a338512-bf03-498e-b222-bc82f496f773,W_001,2024-01-12,Medium,6.44,0.924
8b3751d8-cee3-4c3f-944f-2d1b389c536c,W_001,2024-01-12,Low,6.4,0.944
b0cf8ecb-d8dd-4ecb-b27c-e8633dfdd1c2,W_001,2024-01-12,Medium,5.9,0.947
a66f5e4e-5153-4cd2-bc6e-61ff1d80a503,W_001,2024-01-12,Low,4.54,0.957
80e244f1-7e41-410e-a170-ce1d5d4d3f57,W_001,2024-01-12,Low,4.41,0.953
6808133f-1a8b-4cda-85d1-dbfa7c8fbb29,W_001,2024-01-12,Low,2.5,0.984
f7a6aab2-146a-4ad4-bfd7-29fda77347ea,W_001,2024-01-12,High,11.52,0.844
03d67c4d-4e1c-4395-8977-dbe01107fd4b,W_001,2024-01-12,High,12.47,0.891
90df82e1-4452-482a-b9b5-23dafca271ed,W_001,2024-01-13,Medium,8.15,0.953
37f11dce-6e1b-46c9-a45a-e83f1e171767,W_001,2024-01-13,Medium,9.4,0.907
bf2d7968-d4d4-43b4-8a9f-d2569f51c44b,W_001,2024-01-13,Low,4.24,0.934
4e61dd3e-902d-44f2-b511-9b42a2fed1c0,W_001,2024-01-13,Medium,7.31,0.921
7ed57d4c-6b90-4911-9e69-29decc0176e5,W_001,2024-01-13,Medium,8.96,0.88
d8b52f03-9758-4122-812d-02172ac856b5,W_001,2024-01-13,Low,7.78,0.938
328b58b2-7124-42b0-9a7b-595c99f6d0da,W_001,2024-01-13,Low,4.14,0.962
d3cba46c-1874-4383-83ae-9d6de124f2e2,W_001,2024-01-13,Low,4.4,0.985
2bbb685a-d4dd-45ae-955b-b17648e192f3,W_001,2024-01-13,Medium,8.79,0.973
fb7830e6-b92f-4edb-b4cc-549df24f0042,W_001,2024-01-13,Low,3.23,0.949
aded93e4-16a6-4582-8b54-b704d64af115,W_001,2024-01-13,High,12.74,0.856
96ee396b-ee3a-4d40-a3d4-2c120b5c5943,W_001,2024-01-13,High,12.98,0.943
eabb45af-88d4-4c21-bb6d-f0655f15ad78,W_001,2024-01-14,Medium,7.27,0.917
b79984fd-8fff-42b2-8e32-ef1777e3e6fb,W_001,2024-01-14,Low,5.54,0.991
46d26d45-0426-4617-bbe1-58dc9326a143,W_001,2024-01-14,Medium,9.31,0.92
0fce63be-1efc-44a4-9dea-ae8e0757635c,W_001,2024-01-14,Low,4.75,0.996
ba530846-720f-4345-b0c7-a36dd224f6d9,W_001,2024-01-14,Low,3.13,0.963
3ad7f637-6306-465c-815f-00b914822986,W_001,2024-01-14,Medium,5.63,0.93
cbc1d150-3c41-41e9-85e0-cd169a428390,W_001,2024-01-14,High,13.66,0.792
9412391b-7ecc-4dc4-95af-6a9ec5e335b9,W_001,2024-01-14,High,10.23,0.891
273a11e4-2beb-4962-b1fe-4653376ada18,W_001,2024-01-14,High,9.04,0.926
03b609c3-8d10-412a-a6fb-db7e7ee4bc4d,W_001,2024-01-14,Low,5.51,0.995
832e2907-611a-4f07-84c1-5087ef517646,W_001,2024-01-14,Medium,8.27,0.937
1963cb7e-4235-43a0-b1ed-686ce2a398c2,W_001,2024-01-14,Low,3.91,0.954
f2e84ffd-dae3-4c6a-a8c4-a06d67c46d17,W_001,2024-01-14,Medium,8.11,0.916
7ff9a9c4-b304-49c9-9a4f-4ee43f510c12,W_001,2024-01-14,Medium,7.48,0.955
c82ac2a9-7fbe-4f07-bf41-c91cd7299d6c,W_001,2024-01-14,High,11.46,0.841
8f43eeaa-650d-4070-8d6a-192e992ae5ea,W_001,2024-01-14,Medium,7.36,0.913
9eed4574-1298-45e3-b393-3aed758e5774,W_001,2024-01-14,Medium,9.3,0.971
0f24ae7e-3745-429d-84eb-013835c87e00,W_001,2024-01-14,Medium,5.55,0.938
947ca815-469b-4d50-8759-b9eb8207b48f,W_001,2024-01-14,Low,3.22,1.0
c5597395-a801-4bf0-96db-91a48cb2935d,W_001,2024-01-15,Medium,7.7,0.931
b2a6a1ad-d2b0-4464-9c63-97be0b98ef8f,W_001,2024-01-15,High,12.22,0.909
02775e9e-a284-4980-a27c-be27d037fa19,W_001,2024-01-15,Medium,8.33,0.943
87e5e784-fd0f-4ac8-a54f-b89e416176dd,W_001,2024-01-15,Low,6.88,0.997
07dfd64c-4773-400b-938c-ed9578495cfd,W_001,2024-01-15,Low,5.18,0.972
2ca98a2f-bad3-4f59-8cc4-80eb17b3f498,W_001,2024-01-15,High,10.02,0.875
4a333a55-dfa0-42ab-a553-11826da61188,W_001,2024-01-15,High,17.08,0.901
74089af3-a567-4858-8a68-b36614c65af3,W_001,2024-01-15,Low,4.84,0.961
a675f1d5-b1c5-40d9-93f3-949cc6bda722,W_001,2024-01-15,High,13.7,0.787
ecade24d-a845-46bf-a5c9-9c6a190133d8,W_001,2024-01-15,High,9.42,0.828
95be4288-6027-415a-b2bc-5ed1d8cca750,W_001,2024-01-16,Low,3.87,0.967
489a03f3-cbd0-4774-ba8d-f739fc7d4c5a,W_001,2024-01-16,Low,2.3,0.969
ffae66b6-c684-47f5-8620-a9bb4a7b983f,W_001,2024-01-16,High,14.16,0.806
20883c7f-283c-49a5-8a16-1eafa3719aab,W_001,2024-01-16,Medium,7.6,0.897
19017f81-2a31-462d-9744-d63322a3ba3a,W_001,2024-01-16,Low,5.0,0.973
86d2bc9b-9b65-4d34-b2dd-2b03ceff38db,W_001,2024-01-16,Medium,8.02,0.929
a7016505-9779-4ee6-8e70-985626691ed6,W_001,2024-01-16,Low,4.89,0.973
2f4a787e-09c5-4cdc-9990-264edffc5603,W_001,2024-01-16,Low,4.97,0.959
db37e826-b149-4980-ba8e-bf3199a22c80,W_001,2024-01-16,Medium,10.08,0.85
cf0fac6c-06c8-4336-860a-734e32428e9d,W_001,2024-01-16,Low,6.25,0.929
aa59f757-5a52-4837-8b30-eb9253724c8f,W_001,2024-01-16,Low,5.29,0.965
02656629-3dd9-4003-94f8-ee4940783d72,W_001,2024-01-16,High,9.18,0.849
74096583-2ad0-4b8c-8bfc-1fcbc3be945f,W_001,2024-01-16,Medium,7.46,0.928
4b26adfe-ef51-43dd-a5ae-936922ffac92,W_001,2024-01-16,Low,5.94,0.995
c1d61916-45fd-475f-8081-2d5f651cb891,W_001,2024-01-16,Low,4.3,0.955
4ed09c5e-3358-4cbe-b58f-de5404d1291a,W_001,2024-01-16,Medium,7.21,0.945
0382df73-b1ce-493f-86e6-33470c06bd8a,W_001,2024-01-16,Medium,7.47,0.923
f3a55a03-5a3f-419f-a126-d66ce9744b41,W_001,2024-01-16,Low,5.71,0.979
e482a2c8-58f1-4386-b0c1-95df8090f872,W_001,2024-01-17,Medium,7.01,0.902
e491be40-32fe-4e98-ba56-fd5cada436ba,W_001,2024-01-17,High,12.65,0.83
869c0ccc-570c-4ec0-8d86-d58ad51eae5a,W_001,2024-01-17,Low,3.76,0.954
25dd7805-8202-4a9d-b6fc-2200f4373ee1,W_001,2024-01-17,Low,3.44,0.982
82f9a085-bd5b-4248-8916-307379ff17a2,W_001,2024-01-17,Medium,9.87,0.865
60178a1f-ce20-4786-8dea-e32b6b9b2605,W_001,2024-01-17,Low,5.21,0.968
aa217ebf-cc88-480e-836c-a33c66c95b62,W_001,2024-01-17,Medium,9.46,0.929
b5180c60-d3f8-41d0-8ae3-f909d74af910,W_001,2024-01-17,Medium,7.45,0.928
bb6353a5-fdb2-426a-8f48-bb991688c489,W_001,2024-01-17,Low,7.16,0.983
1c673cdb-6fb7-41d1-9433-aefc041fc4a0,W_001,2024-01-17,Low,5.17,0.966
c2ea9f33-0da0-4616-ad62-ee4bd00803df,W_001,2024-01-17,High,9.42,0.884
dc7505d4-0b2a-4658-8ff1-009f6639ce14,W_001,2024-01-17,Low,5.2,0.95
259627ec-4be4-43c4-aae9-09a090b65d85,W_001,2024-01-17,Low,7.01,0.984
60e62b0f-dc2d-45ab-a27a-52e2b214149c,W_001,2024-01-17,High,12.51,0.919
75c65201-1590-4e2b-af49-f77e9ec24710,W_001,2024-01-17,Medium,6.49,0.945
8843b332-a40f-40df-92d7-3758d9af56d2,W_001,2024-01-17,High,8.32,0.829
0506f64f-ec8a-4a20-b8c8-bf5db590bfe6,W_001,2024-01-17,Medium,7.48,0.936
6c3e8964-c49e-4b13-9271-43847d52f754,W_001,2024-01-17,Medium,7.08,0.888
75ba71c2-31c6-4cc0-a246-eaca38252c9a,W_001,2024-01-17,Low,6.34,0.952
18d166de-10a6-494c-ad0e-394c0b11ca85,W_001,2024-01-18,Low,5.49,0.974
f7ec9aee-00df-4d86-a91c-b19d5fdd9ec3,W_001,2024-01-18,Medium,8.91,0.884
d109aeff-87ba-4340-bbe7-24d90df43a47,W_001,2024-01-18,Low,7.56,0.968
d2b03e3d-2793-4923-9cc0-b09b4fab29b3,W_001,2024-01-18,Low,4.65,0.975
57f2d28a-9dc5-452f-adff-8194ddfc4ef2,W_001,2024-01-18,Low,4.97,1.0
cda8b5d6-2321-4b6e-a645-e62a60d73b9a,W_001,2024-01-18,Medium,5.66,0.918
b3882cb9-ee32-4c9b-a51e-14211294761e,W_001,2024-01-18,High,13.26,0.919
8db1c44c-2c6d-4d73-bd1f-46cb06e26b6d,W_001,2024-01-18,Low,3.24,0.993
31884990-57db-416d-b3b9-1728a0a043b5,W_001,2024-01-18,Low,4.93,0.982
0f5da54b-a2a4-4866-897a-e5d24e2f2b69,W_001,2024-01-18,Low,6.06,0.972
4a850719-9152-4ee2-b63f-5ae062c6cf12,W_001,2024-01-18,Medium,8.84,0.962
95fdaa29-170b-47d3-b5e4-c5c8dbab8072,W_001,2024-01-18,Medium,7.32,0.949
1aaa9587-2b70-4972-ae76-9c4a34c95ed2,W_001,2024-01-19,High,12.86,0.888
7d616660-68e3-4cf9-8c0b-d98e72967ffb,W_001,2024-01-19,Low,5.82,0.973
50bfdf24-08e8-4bdf-9f30-321d1a50ce8c,W_001,2024-01-19,Low,3.92,0.991
1de4d9aa-b40e-4e78-b4b2-7cc19e90dfc3,W_001,2024-01-19,High,14.26,0.877
a17503de-71cf-4faf-9155-33653e3d2888,W_001,2024-01-19,High,13.88,0.859
494f6ca9-c993-4885-a38a-54adade230a9,W_001,2024-01-19,Low,3.59,0.98
0d02372d-6bda-437b-bd92-a04f0a8807b7,W_001,2024-01-19,Low,5.22,0.96
005bce2f-5967-4ee9-8b69-52b430750dbc,W_001,2024-01-19,Low,4.74,0.973
ae5dfc3d-ce78-41a8-b415-e881607b87f5,W_001,2024-01-19,Low,6.45,0.974
fd8db17a-8301-4774-a86a-1e49b36e0655,W_001,2024-01-19,Low,5.87,0.976
0fe49600-0789-4e6d-91c3-e3636aaeb17a,W_001,2024-01-19,Medium,8.12,0.962
100c4a26-1915-43f0-9bd3-1454047c1ad9,W_001,2024-01-19,High,14.45,0.853
